City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Faanui,PF,81.79,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Butaritari,KI,83.61,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
11,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
14,Port Augusta,AU,77.7,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
18,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
19,Rikitea,PF,76.37,overcast clouds,-23.1203,-134.9692,Pension Maro'i
25,Atuona,PF,79.9,clear sky,-9.8,-139.0333,Villa Enata
26,Mana,GF,76.55,overcast clouds,5.6592,-53.7767,LE SAMANA
31,Bengkulu,ID,81.82,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
33,Boende,CD,78.15,scattered clouds,-0.2167,20.8667,
35,Daru,PG,78.91,overcast clouds,-9.0763,143.2092,Daru Lodge
41,Sorong,ID,77.65,overcast clouds,-0.8833,131.25,waigo splash hotel
42,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
46,Lorengau,PG,83.75,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
47,Labuhan,ID,83.71,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
48,Namatanai,PG,84.09,scattered clouds,-3.6667,152.4333,Namatanai Hotel
50,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
51,Saint-Joseph,RE,79.16,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
53,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
56,Puerto Carreno,CO,78.98,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
58,Hobyo,SO,84.78,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
60,Banamba,ML,86.7,overcast clouds,13.55,-7.45,Kassela de Banamba
62,Cabo San Lucas,MX,76.8,broken clouds,22.8909,-109.9124,Tesoro Los Cabos
68,Kitob,UZ,82.98,few clouds,39.0843,66.8332,KESH HOTEL
77,Todos Santos,MX,76.3,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
78,Kavieng,PG,85.05,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
85,Kokopo,PG,81.63,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
92,Tela,HN,80.08,overcast clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
95,Gamba,GA,77.74,overcast clouds,-2.65,10.0,
109,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
114,Manokwari,ID,82.44,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
119,Acapulco,MX,79.83,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
122,Cape Coast,GH,78.8,overcast clouds,5.1053,-1.2466,Samrit Hotel
123,Buchanan,LR,77.79,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
125,Kloulklubed,PW,82.06,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
126,Shahr-E Babak,IR,81.99,few clouds,30.1165,55.1186,Duna Ecolodge
135,Nanzhang,CN,78.58,light rain,31.7765,111.8386,Longmenkezhan
137,Port Antonio,JM,80.51,overcast clouds,18.18,-76.4612,The Trident Hotel
138,Tautira,PF,78.82,few clouds,-17.7333,-149.15,Pension Oaoa
142,Saint-Philippe,RE,80.15,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
144,Maumere,ID,84.29,few clouds,-8.6199,122.2111,Sylvia Hotel
148,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
153,Kirakira,SB,79.92,light rain,-10.4544,161.9205,SanBiz Lodge
154,Kavaratti,IN,82.54,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
158,Karratha,AU,84.38,clear sky,-20.7377,116.8463,ibis Styles Karratha
165,Kerema,PG,81.14,light rain,-7.9631,145.7785,Frena Lodge
166,Dingle,PH,86.88,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
169,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
172,Baffa,PK,84.54,clear sky,34.4378,73.2194,Kisan veternary store Baffa
179,Ormara,PK,85.01,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
180,Muisne,EC,75.61,moderate rain,0.6,-80.0333,Quinta Samay
182,Cockburn Town,TC,77.22,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
185,Gunib,RU,83.59,clear sky,42.3876,46.9651,Radde
188,Kajansi,UG,75.88,light rain,0.2081,32.5222,"Gorilla's Nest Entebbe, Gorillaz Nest"
195,Kulhudhuffushi,MV,83.41,light rain,6.6221,73.07,Haajy Guest House 1
197,Aransas Pass,US,77.23,overcast clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
199,Yaan,NG,78.67,overcast clouds,7.3833,8.5667,
200,Sinnamary,GF,77.09,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
203,Grand Gaube,MU,77.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
208,Kudahuvadhoo,MV,84.06,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
219,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
224,Antalaha,MG,75.4,light rain,-14.9003,50.2788,Hotel Vitasoa
225,Namibe,AO,75.18,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
226,Sakakah,SA,83.77,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
228,Savinka,RU,84.79,overcast clouds,50.0785,47.0994,
232,Bam,IR,89.13,clear sky,29.106,58.357,Bam Tourist Hotel
233,Kayes,ML,84.7,scattered clouds,14.0,-11.0,
235,Talakan,RU,87.55,clear sky,50.3167,130.3667,
236,Tema,GH,79.21,clear sky,5.667,-0.0166,Beulah Royale
238,Maragogi,BR,76.19,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
244,Camargo,MX,77.09,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
247,Paracuru,BR,78.82,few clouds,-3.41,-39.0306,Hotel Vento Brasil
250,Kinablangan,PH,84.42,scattered clouds,7.6947,126.5503,Danny Moreno Property
251,Pangkalanbuun,ID,85.82,light rain,-2.6833,111.6167,Grand Kecubung Hotel
254,Gari,RU,76.19,overcast clouds,59.4307,62.3497,
257,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
259,Eyl,SO,86.83,overcast clouds,7.9803,49.8164,Amiin Hotel
266,Loanda,AO,75.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
