City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,59.27,57,0,12.19,clear sky
1,Tadine,NC,-21.55,167.8833,71.19,74,22,11.92,light rain
2,Busselton,AU,-33.65,115.3333,59.09,88,100,17.05,light rain
3,Faanui,PF,-16.4833,-151.75,81.79,73,5,13.6,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,75.54,91,94,10.0,overcast clouds
5,Kibaya,TZ,-5.3,36.5667,66.94,60,22,5.57,few clouds
6,Rena,NO,61.1348,11.3641,49.82,70,89,3.36,overcast clouds
7,Butaritari,KI,3.0707,172.7902,83.61,79,100,19.51,overcast clouds
8,Matagami,CA,49.7502,-77.6328,59.11,97,90,5.82,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,41.11,86,20,4.05,few clouds
10,Dikson,RU,73.5069,80.5464,31.28,90,100,6.15,overcast clouds
11,Vaini,TO,-21.2,-175.2,78.96,94,75,10.36,light rain
12,Touros,BR,-5.1989,-35.4608,72.5,82,9,11.1,clear sky
13,Palm Coast,US,29.585,-81.2078,73.99,72,1,13.0,clear sky
14,Port Augusta,AU,-32.5,137.7667,77.7,27,96,2.17,overcast clouds
15,Tiksi,RU,71.6872,128.8694,30.56,86,100,5.88,light snow
16,Klaksvik,FO,62.2266,-6.589,41.92,81,100,3.8,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,28.87,73,100,4.36,overcast clouds
18,Mahebourg,MU,-20.4081,57.7,76.24,64,40,13.8,scattered clouds
19,Rikitea,PF,-23.1203,-134.9692,76.37,61,100,9.48,overcast clouds
20,Itigi,TZ,-5.7,34.4833,72.18,56,8,9.71,clear sky
21,Mapiri,BO,-15.25,-68.1667,68.65,98,100,0.58,overcast clouds
22,Beringovskiy,RU,63.05,179.3167,31.98,92,100,2.59,overcast clouds
23,Port Lincoln,AU,-34.7333,135.8667,66.38,45,98,5.73,overcast clouds
24,Albany,US,42.6001,-73.9662,68.31,71,100,3.44,overcast clouds
25,Atuona,PF,-9.8,-139.0333,79.9,71,10,17.09,clear sky
26,Mana,GF,5.6592,-53.7767,76.55,91,100,9.35,overcast clouds
27,Cherskiy,RU,68.75,161.3,34.25,73,100,10.69,overcast clouds
28,Poum,NC,-20.2333,164.0167,74.8,62,4,18.86,clear sky
29,Severo-Kurilsk,RU,50.6789,156.125,39.63,82,4,12.82,clear sky
30,Pevek,RU,69.7008,170.3133,30.09,90,91,6.98,overcast clouds
31,Bengkulu,ID,-3.8004,102.2655,81.82,69,83,4.59,broken clouds
32,Upernavik,GL,72.7868,-56.1549,24.28,94,100,3.18,overcast clouds
33,Boende,CD,-0.2167,20.8667,78.15,83,50,1.99,scattered clouds
34,Hobart,AU,-42.8794,147.3294,63.01,64,20,5.99,few clouds
35,Daru,PG,-9.0763,143.2092,78.91,89,100,17.76,overcast clouds
36,Coihaique,CL,-45.5752,-72.0662,37.35,100,38,3.44,scattered clouds
37,Mataura,NZ,-46.1927,168.8643,49.48,93,0,2.17,clear sky
38,New Norfolk,AU,-42.7826,147.0587,62.65,49,3,3.0,clear sky
39,Turgenevo,RU,54.8455,46.3297,64.8,84,92,12.33,overcast clouds
40,Nikolskoye,RU,59.7035,30.7861,55.78,47,15,11.36,few clouds
41,Sorong,ID,-0.8833,131.25,77.65,93,100,13.27,overcast clouds
42,Kapaa,US,22.0752,-159.319,78.78,71,85,1.99,light rain
43,Olinda,BR,-8.0089,-34.8553,76.73,71,40,7.67,scattered clouds
44,Victoria,HK,22.2855,114.1577,93.96,67,8,8.99,clear sky
45,Ushuaia,AR,-54.8,-68.3,37.06,87,40,6.91,light rain
46,Lorengau,PG,-2.0226,147.2712,83.75,76,64,0.63,broken clouds
47,Labuhan,ID,-6.8844,112.2051,83.71,71,60,8.19,broken clouds
48,Namatanai,PG,-3.6667,152.4333,84.09,75,38,6.42,scattered clouds
49,Rio Gallegos,AR,-51.6226,-69.2181,35.65,87,0,6.91,clear sky
50,Bambous Virieux,MU,-20.3428,57.7575,76.21,58,40,17.98,scattered clouds
51,Saint-Joseph,RE,-21.3667,55.6167,79.16,65,53,16.73,broken clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,71.89,88,35,9.93,scattered clouds
53,Avarua,CK,-21.2078,-159.775,77.05,73,20,11.5,few clouds
54,Mount Gambier,AU,-37.8333,140.7667,67.91,42,58,8.05,broken clouds
55,San Quintin,MX,30.4833,-115.95,56.73,77,0,16.89,clear sky
56,Puerto Carreno,CO,6.189,-67.4859,78.98,80,89,3.47,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,53.11,60,0,3.2,clear sky
58,Hobyo,SO,5.3505,48.5268,84.78,63,70,21.47,broken clouds
59,Naze,JP,28.3667,129.4833,65.32,90,100,11.54,moderate rain
60,Banamba,ML,13.55,-7.45,86.7,40,87,4.23,overcast clouds
61,Kholm,RU,59.2667,32.85,56.5,53,8,12.26,moderate rain
62,Cabo San Lucas,MX,22.8909,-109.9124,76.8,67,65,11.01,broken clouds
63,Lososina,RU,48.9975,140.3106,61.92,59,100,10.4,overcast clouds
64,Mao,ES,39.8885,4.2658,63.16,94,40,13.8,scattered clouds
65,Constitucion,CL,-35.3333,-72.4167,48.65,79,0,6.58,clear sky
66,Fortuna,US,40.5982,-124.1573,50.94,59,90,1.99,overcast clouds
67,Cidreira,BR,-30.1811,-50.2056,64.24,94,100,11.56,overcast clouds
68,Kitob,UZ,39.0843,66.8332,82.98,23,18,7.56,few clouds
69,Lata,PT,40.1629,-8.3327,54.72,79,100,5.64,overcast clouds
70,Nemuro,JP,43.3236,145.575,52.23,98,100,17.43,overcast clouds
71,Octeville,FR,49.6261,-1.6435,51.93,44,90,22.35,overcast clouds
72,Tuatapere,NZ,-46.1333,167.6833,49.82,89,0,2.21,clear sky
73,Barrow,US,71.2906,-156.7887,33.82,80,40,14.97,scattered clouds
74,Narsaq,GL,60.9167,-46.05,24.96,80,67,3.42,broken clouds
75,Idaho Falls,US,43.4666,-112.0341,41.63,90,20,13.0,few clouds
76,Provideniya,RU,64.3833,-173.3,39.54,71,42,6.64,scattered clouds
77,Todos Santos,MX,23.45,-110.2167,76.3,62,87,4.41,overcast clouds
78,Kavieng,PG,-2.5744,150.7967,85.05,70,41,6.78,scattered clouds
79,Vila Velha,BR,-20.3297,-40.2925,71.94,82,0,4.0,clear sky
80,Salalah,OM,17.0151,54.0924,90.18,53,12,11.95,few clouds
81,Lazaro Cardenas,MX,17.9583,-102.2,74.48,68,0,3.2,clear sky
82,Hampden,US,42.1668,-72.5829,67.41,71,75,1.01,broken clouds
83,Luderitz,NA,-26.6481,15.1594,64.83,40,0,5.48,clear sky
84,Chokurdakh,RU,70.6333,147.9167,29.3,92,90,1.05,overcast clouds
85,Kokopo,PG,-4.352,152.2633,81.63,83,66,7.76,light rain
86,Cabanas,CU,22.9758,-82.9219,72.07,74,100,13.58,light rain
87,High Level,CA,58.5169,-117.136,57.31,41,90,10.02,overcast clouds
88,Jamestown,US,42.097,-79.2353,67.84,80,1,1.01,clear sky
89,Iqaluit,CA,63.7506,-68.5145,20.93,73,90,8.01,overcast clouds
90,Longyearbyen,SJ,78.2186,15.6401,24.64,63,75,3.44,broken clouds
91,Maieru,RO,47.4,24.75,61.88,69,100,4.61,overcast clouds
92,Tela,HN,15.7833,-87.45,80.08,92,98,4.97,overcast clouds
93,Izhevskoye,RU,54.5567,40.8703,62.19,56,70,5.84,broken clouds
94,Laguna,US,38.421,-121.4238,59.29,73,1,7.25,clear sky
95,Gamba,GA,-2.65,10.0,77.74,88,100,2.44,overcast clouds
96,Yomou,GN,7.5603,-9.2653,71.53,98,100,0.92,overcast clouds
